date,open,high,low,close,volume
2004-10-28,11.3824,11.4848,11.3779,11.4113,18614
2004-10-29,11.4602,11.654,11.4513,11.5827,47693
2004-11-01,11.5493,11.6228,11.4446,11.6005,35447
2004-11-02,11.5716,11.6628,11.5493,11.6005,21420
2004-11-03,11.7341,11.8054,11.7163,11.772,20975
2004-11-04,11.7297,11.87,11.7163,11.8143,23468
2004-11-05,11.8633,11.9279,11.8411,11.8856,30950
2004-11-08,11.8454,12.0013,11.8009,11.9768,606388
2004-11-09,11.9235,11.9925,11.8121,11.8522,33533
2004-11-10,11.8098,11.8543,11.7118,11.8009,24849
2004-11-11,11.7742,11.8945,11.7453,11.8477,25294
2004-11-12,11.7921,11.9502,11.7921,11.8522,23602
2004-11-15,11.8232,11.9011,11.7876,11.8321,34646
2004-11-16,11.821,11.8744,11.7943,11.8143,39678
2004-11-17,11.9189,11.9434,11.7965,11.8321,18570
2004-11-18,11.7631,11.7631,11.6117,11.6941,66175
2004-11-19,11.7007,11.841,11.6451,11.841,22310
2004-11-22,11.8388,11.9368,11.7943,11.821,24760
2004-11-23,11.7965,11.7965,11.6473,11.7653,18837
2004-11-24,11.7119,11.7252,11.6072,11.6473,19728
2004-11-26,11.7542,11.8343,11.7364,11.7987,15497
2004-11-29,11.723,11.752,11.6184,11.6206,20307
2004-11-30,11.5405,11.7743,11.4247,11.7186,56288
2004-12-01,11.7342,11.8544,11.7342,11.8544,36828
2004-12-02,11.8677,11.9746,11.7675,11.7742,24982
2004-12-03,11.7341,11.7341,11.5871,11.7007,16833
2004-12-06,11.5805,11.7609,11.5783,11.7542,17546
2004-12-07,11.6896,11.743,11.6406,11.7163,15007
2004-12-08,11.5337,11.6228,11.4959,11.6161,25828
2004-12-09,11.5226,11.5939,11.4491,11.5627,25695
2004-12-10,11.4447,11.5338,11.4313,11.5115,16388
2004-12-13,11.4625,11.5226,11.4023,11.4402,21999
2004-12-14,11.369,11.3935,11.2354,11.3779,48139
2004-12-15,11.4091,11.4981,11.3668,11.4625,24225
2004-12-16,11.3935,11.4625,11.3445,11.4202,25027
2004-12-17,11.4492,11.5204,11.4113,11.4514,23958
2004-12-20,11.4514,11.5048,11.4068,11.4959,21242
2004-12-21,11.516,11.6228,11.516,11.5271,20707
2004-12-22,11.4269,11.5115,11.4002,11.4447,27743
2004-12-23,11.467,11.5138,11.4559,11.5093,23914
2004-12-27,11.4781,11.5227,11.4514,11.467,12291
2004-12-28,11.4669,11.5404,11.4491,11.5404,10153
2004-12-29,11.5783,11.7832,11.5783,11.7119,31395
2004-12-30,11.6897,11.8878,11.6897,11.8522,24893
2004-12-31,11.8588,11.9278,11.8588,11.8989,22800
2005-01-03,11.8989,11.8989,11.6963,11.772,25116
2005-01-04,11.7519,11.7519,11.5849,11.6339,27476
2005-01-05,11.5872,11.645,11.5404,11.5493,39856
2005-01-06,11.5026,11.5204,11.3601,11.418,39099
2005-01-07,11.5159,11.5159,11.291,11.3556,20796
2005-01-10,11.4113,11.5048,11.3802,11.4091,25606
2005-01-11,11.438,11.5316,11.438,11.5093,33176
2005-01-12,11.6273,11.6629,11.5939,11.5961,25472
2005-01-13,11.5739,11.6028,11.5315,11.5694,19015
2005-01-14,11.4202,11.5227,11.4202,11.5004,14607
2005-01-18,11.4535,11.5716,11.4446,11.5248,171091
2005-01-19,11.5382,11.5471,11.4759,11.5115,19639
2005-01-20,11.4225,11.4915,11.4091,11.4759,17145
2005-01-21,11.4759,11.6006,11.4759,11.5627,22667
2005-01-24,11.5544,11.5859,11.5118,11.5859,17973
2005-01-25,11.4804,11.4849,11.3613,11.386,23635
2005-01-26,11.3904,11.5387,11.3904,11.4893,32217
2005-01-27,11.3904,11.4578,11.3545,11.4511,25522
2005-01-28,11.4017,11.4399,11.3231,11.377,27903
2005-01-31,11.368,11.4174,11.3343,11.4062,23410
2005-02-01,11.3837,11.4938,11.3433,11.4848,23320
2005-02-02,11.4848,11.5252,11.4309,11.505,17883
2005-02-03,11.4354,11.5163,11.404,11.5118,17119
2005-02-04,11.4915,11.5499,11.4376,11.5297,17569
2005-02-07,11.5095,11.7139,11.487,11.6061,43135
2005-02-08,11.5926,11.7858,11.5926,11.7611,28712
2005-02-09,11.6937,11.7836,11.6937,11.7499,23185
2005-02-10,11.7499,11.9296,11.7499,11.8622,32037
2005-02-11,11.8644,11.9498,11.806,11.9296,22062
2005-02-14,11.9409,12.0105,11.833,12.0105,24354
2005-02-15,11.9746,12.0173,11.9476,11.9521,21613
2005-02-16,11.9274,11.9499,11.8061,11.9207,29161
2005-02-17,11.9094,12.1094,11.9094,12.1094,28218
2005-02-18,12.0419,12.152,12.0419,12.1363,37024
2005-02-22,12.2621,12.361,12.2486,12.3003,63355
2005-02-23,12.17,12.1992,12.0824,12.1992,33070
2005-02-24,12.0352,12.1722,11.9745,12.1655,27094
2005-02-25,12.6059,13.2529,12.6059,13.2529,163959
2005-02-28,13.2305,13.2979,13.1586,13.1743,64613
2005-03-01,13.1092,13.2664,13.1092,13.1496,64254
2005-03-02,13.0754,13.2664,13.035,13.2417,33430
2005-03-03,13.2214,13.3899,13.1967,13.354,27679
2005-03-04,13.5314,13.637,13.4393,13.6258,42866
2005-03-07,13.5741,13.655,13.5292,13.6258,34149
2005-03-08,13.7225,13.8393,13.7157,13.7921,31902
2005-03-09,13.7853,13.9179,13.7629,13.7741,50594
2005-03-10,13.7786,13.8168,13.6124,13.7157,76655
2005-03-11,13.7472,13.7606,13.518,13.5517,61782
2005-03-14,13.4821,13.4821,13.3226,13.4012,72656
2005-03-15,13.5112,13.6168,13.5022,13.5337,28038
2005-03-16,13.5899,13.7786,13.5876,13.6595,57109
2005-03-17,13.6169,13.7584,13.5562,13.6708,23185
2005-03-18,13.637,13.664,13.464,13.4955,26735
2005-03-21,13.3697,13.4146,13.3045,13.3652,25881
2005-03-22,13.4259,13.727,13.4237,13.5607,50954
2005-03-23,13.4394,13.4574,13.3698,13.4574,33745
2005-03-24,13.5001,13.5495,13.3922,13.4484,19411
2005-03-28,13.4012,13.4079,13.2889,13.3675,29656
2005-03-29,13.3674,13.482,13.3674,13.3989,23365
